archetype,account_age_days,followers,following,posts_per_day,profile_completeness,follow_burst_rate,posting_variance,engagement_rate,is_fake
active_human,223,85,139,2.4,0.93,0.06,0.2,0.0977,0
compromised_bot,1351,492,5294,10.89,0.8,0.71,0.83,0.0012,1
active_human,236,97,132,0.59,0.88,0.09,0.11,0.058,0
lurker_human,537,141,188,0.01,0.43,0.03,0.21,0.0206,0
active_human,1158,635,812,1.79,0.55,0.14,0.37,0.0308,0
lurker_human,302,145,279,0.13,0.51,0.11,0.08,0.0247,0
creator_human,1479,11356,558,3.73,0.95,0.2,0.24,0.1148,0
active_human,202,521,607,0.92,0.93,0.16,0.33,0.1117,0
active_human,315,134,202,1.99,0.97,0.18,0.28,0.0934,0
follow_bot,24,115,3356,1.31,0.49,0.97,0.8,0.001,1
spambot,26,20,3589,62.75,0.23,0.77,0.91,0.0002,1
active_human,593,591,539,0.94,0.75,0.18,0.25,0.0941,0
lurker_human,359,22,191,0.09,0.47,0.02,0.07,0.0263,0
spambot,37,61,2939,23.22,0.17,0.76,0.91,0.0019,1
active_human,326,692,498,1.07,0.48,0.0,0.18,0.0629,0
active_human,491,268,391,1.1,0.56,0.16,0.19,0.0743,0
active_human,913,405,551,2.26,0.89,0.19,0.29,0.0355,0
active_human,374,40,72,0.77,0.9,0.19,0.24,0.0288,0
lurker_human,717,120,204,0.03,0.55,0.03,0.25,0.0276,0
active_human,821,389,393,1.7,0.6,0.02,0.34,0.0205,0
spambot,4,29,6388,20.97,0.39,0.93,0.91,0.0028,1
active_human,87,881,952,1.29,0.79,0.01,0.31,0.0966,0
spambot,53,52,4205,25.38,0.18,0.92,0.94,0.0004,1
active_human,1193,126,104,1.77,0.79,0.1,0.21,0.0739,0
active_human,715,380,461,0.62,0.73,0.02,0.31,0.0592,0
creator_human,2226,27077,217,1.13,0.88,0.11,0.17,0.0775,0
spambot,4,46,3441,32.24,0.23,0.73,0.81,0.0022,1
follow_bot,57,102,4975,1.27,0.22,0.97,0.52,0.001,1
lurker_human,660,77,198,0.03,0.72,0.04,0.17,0.0252,0
spambot,4,23,7321,57.52,0.43,0.8,0.78,0.0024,1
active_human,632,434,621,0.41,0.99,0.01,0.1,0.109,0
active_human,684,57,54,0.81,0.82,0.1,0.29,0.0466,0
compromised_bot,1252,1079,5205,22.0,0.53,0.76,0.7,0.0015,1
spambot,9,43,7387,22.9,0.21,0.78,0.96,0.0015,1
active_human,705,214,175,1.48,0.64,0.03,0.32,0.0362,0
active_human,547,354,281,1.69,0.68,0.05,0.11,0.0478,0
lurker_human,616,32,164,0.02,0.54,0.1,0.08,0.0109,0
active_human,371,306,356,0.31,0.9,0.04,0.15,0.0849,0
spambot,10,12,5284,37.21,0.3,0.72,0.79,0.0023,1
active_human,77,121,175,1.21,0.76,0.04,0.31,0.0895,0
spambot,2,9,1813,31.9,0.21,0.89,0.76,0.0022,1
lurker_human,519,30,315,0.02,0.56,0.08,0.2,0.0581,0
active_human,812,515,711,0.35,0.78,0.08,0.21,0.0553,0
lurker_human,652,62,103,0.01,0.52,0.04,0.19,0.0544,0
spambot,1,34,4039,28.25,0.14,0.82,0.97,0.0001,1
creator_human,894,3242,955,1.98,0.99,0.09,0.31,0.0738,0
follow_bot,56,140,4080,0.79,0.26,0.96,0.73,0.0008,1
active_human,793,102,107,0.45,0.75,0.02,0.29,0.0652,0
compromised_bot,1899,402,3732,34.6,0.84,0.68,0.71,0.0044,1
lurker_human,659,97,398,0.01,0.49,0.08,0.09,0.02,0
active_human,446,891,810,2.44,0.75,0.1,0.13,0.0957,0
follow_bot,53,154,3034,0.23,0.58,0.87,0.58,0.002,1
compromised_bot,2005,1266,7203,37.91,0.71,0.84,0.66,0.0019,1
active_human,473,420,572,0.96,0.89,0.12,0.26,0.0439,0
spambot,23,42,7300,52.38,0.12,0.71,0.93,0.0002,1
active_human,441,217,257,0.55,0.7,0.36,0.21,0.1197,0
lurker_human,186,60,286,0.15,0.55,0.09,0.2,0.0455,0
spambot,12,16,3141,44.22,0.14,0.98,0.82,0.0029,1
active_human,693,106,169,2.11,0.81,0.06,0.38,0.0377,0
active_human,995,178,282,0.56,0.72,0.04,0.19,0.0833,0
spambot,13,64,5648,38.15,0.32,0.81,0.95,0.0028,1
lurker_human,318,111,151,0.05,0.62,0.02,0.15,0.0265,0
active_human,186,498,674,1.7,0.63,0.28,0.19,0.0246,0
lurker_human,287,71,113,0.06,0.6,0.06,0.22,0.0193,0
active_human,225,202,146,2.03,0.74,0.15,0.27,0.1183,0
spambot,21,30,5740,35.99,0.22,0.78,0.93,0.0003,1
active_human,196,134,135,1.55,0.72,0.21,0.37,0.0611,0
spambot,3,69,1625,40.95,0.23,0.94,0.83,0.0016,1
active_human,1308,144,214,1.62,0.78,0.07,0.11,0.0474,0
follow_bot,34,75,7219,1.29,0.5,0.94,0.62,0.0015,1
spambot,7,40,2396,53.59,0.18,0.92,0.9,0.0011,1
follow_bot,7,155,8935,0.64,0.5,1.0,0.62,0.0004,1
active_human,532,424,527,1.81,0.88,0.02,0.1,0.037,0
spambot,14,78,6240,45.96,0.43,0.91,0.78,0.0008,1
lurker_human,563,29,156,0.08,0.52,0.04,0.14,0.0116,0
lurker_human,300,79,195,0.06,0.59,0.11,0.25,0.0332,0
active_human,611,250,340,0.9,0.61,0.09,0.14,0.1168,0
compromised_bot,2359,1342,6004,11.82,0.63,0.77,0.89,0.0031,1
creator_human,1243,50982,1139,3.27,0.92,0.24,0.3,0.0599,0
active_human,569,199,297,2.39,0.9,0.07,0.3,0.0891,0
active_human,788,635,700,1.11,0.5,0.02,0.25,0.0943,0
lurker_human,505,71,394,0.07,0.56,0.12,0.19,0.0158,0
lurker_human,987,103,372,0.15,0.66,0.05,0.12,0.0242,0
follow_bot,13,145,6634,0.79,0.48,0.88,0.64,0.0003,1
spambot,6,77,1974,59.13,0.27,0.75,0.96,0.0011,1
spambot,6,39,3563,58.35,0.24,0.71,0.82,0.0024,1
follow_bot,24,71,3320,0.84,0.53,0.9,0.55,0.0011,1
follow_bot,17,110,5978,0.22,0.24,0.99,0.73,0.0015,1
lurker_human,326,124,280,0.02,0.5,0.02,0.12,0.0486,0
active_human,658,408,550,2.18,0.95,0.02,0.18,0.075,0
active_human,365,125,166,1.16,0.97,0.13,0.33,0.0294,0
active_human,301,47,94,0.92,0.88,0.03,0.29,0.0262,0
follow_bot,56,132,7477,0.34,0.54,0.91,0.48,0.0011,1
active_human,661,201,284,0.53,0.79,0.03,0.29,0.0895,0
follow_bot,44,106,6774,0.46,0.31,0.91,0.62,0.0007,1
spambot,1,48,1906,53.83,0.14,0.96,0.88,0.0022,1
active_human,462,897,989,1.45,0.91,0.19,0.28,0.0371,0
creator_human,1543,8653,855,1.78,0.97,0.2,0.17,0.0876,0
active_human,262,267,339,2.01,0.86,0.07,0.35,0.089,0
follow_bot,37,38,8992,0.87,0.44,0.9,0.64,0.0013,1
spambot,13,47,4805,53.12,0.21,0.85,0.96,0.0029,1
active_human,323,343,297,1.99,0.92,0.02,0.36,0.0977,0
compromised_bot,1898,848,7876,32.29,0.53,0.75,0.77,0.0017,1
active_human,709,243,240,0.43,0.49,0.14,0.15,0.0958,0
active_human,652,234,276,0.95,0.72,0.14,0.23,0.0991,0
follow_bot,13,183,7347,0.94,0.29,0.9,0.67,0.0012,1
active_human,327,183,237,0.97,0.58,0.02,0.28,0.108,0
spambot,5,14,6445,25.39,0.41,0.9,0.77,0.0021,1
active_human,377,116,159,2.42,0.83,0.06,0.38,0.0605,0
creator_human,895,14103,900,3.08,0.86,0.06,0.19,0.1343,0
active_human,460,826,694,0.94,0.81,0.12,0.15,0.1179,0
lurker_human,445,142,163,0.04,0.65,0.03,0.07,0.055,0
compromised_bot,917,652,6704,42.06,0.83,0.85,0.82,0.0045,1
active_human,146,194,157,2.24,0.89,0.11,0.38,0.0393,0
active_human,551,321,433,1.41,0.82,0.06,0.25,0.0544,0
spambot,7,52,4803,36.52,0.36,0.78,0.92,0.0006,1
active_human,790,364,348,1.81,0.91,0.13,0.33,0.0488,0
active_human,531,1015,660,2.18,0.8,0.06,0.22,0.0577,0
active_human,420,195,208,0.58,0.64,0.03,0.28,0.0685,0
compromised_bot,2315,728,6580,39.87,0.84,0.77,0.86,0.0034,1
active_human,310,103,143,1.9,0.91,0.13,0.3,0.0606,0
active_human,1240,68,99,0.79,0.97,0.11,0.39,0.1028,0
compromised_bot,2188,903,7769,32.81,0.56,0.91,0.68,0.0068,1
active_human,1154,270,250,0.36,0.84,0.05,0.11,0.052,0
lurker_human,270,89,304,0.11,0.68,0.02,0.27,0.031,0
follow_bot,33,134,3546,0.34,0.27,0.94,0.76,0.0014,1
active_human,307,651,900,2.33,0.95,0.1,0.2,0.1114,0
creator_human,1831,34631,477,1.5,0.86,0.2,0.32,0.0401,0
active_human,197,433,403,1.33,0.86,0.06,0.29,0.0202,0
active_human,269,442,529,1.89,0.84,0.03,0.25,0.1039,0
spambot,8,65,4815,44.35,0.44,0.9,0.85,0.0007,1
lurker_human,581,129,215,0.13,0.68,0.07,0.15,0.0442,0
compromised_bot,1367,208,7727,21.68,0.83,0.66,0.67,0.0052,1
active_human,1354,1062,763,1.5,0.79,0.09,0.31,0.0645,0
active_human,685,625,423,1.57,0.72,0.05,0.33,0.0776,0
creator_human,1794,6266,654,1.69,0.88,0.15,0.33,0.0778,0
lurker_human,794,64,238,0.13,0.74,0.08,0.21,0.0437,0
active_human,332,680,864,2.3,0.57,0.02,0.22,0.0408,0
spambot,9,50,7474,26.91,0.29,0.74,0.8,0.0015,1
active_human,623,575,437,1.25,0.98,0.24,0.14,0.1046,0
active_human,482,329,357,2.18,0.74,0.09,0.21,0.0584,0
active_human,213,821,1112,0.95,0.91,0.06,0.24,0.0468,0
active_human,607,154,218,0.8,0.92,0.05,0.17,0.0299,0
active_human,684,138,235,0.3,0.6,0.22,0.13,0.1093,0
active_human,562,238,204,1.2,0.77,0.05,0.28,0.1134,0
spambot,2,70,7381,42.93,0.22,0.94,0.94,0.0019,1
spambot,4,64,3825,26.27,0.44,0.95,0.98,0.003,1
active_human,989,300,320,1.97,0.79,0.17,0.11,0.0617,0
active_human,854,378,380,0.41,0.95,0.06,0.32,0.0516,0
active_human,285,611,852,0.92,0.8,0.06,0.1,0.0746,0
active_human,258,352,344,0.39,0.63,0.15,0.38,0.0446,0
active_human,792,89,94,2.04,0.64,0.26,0.29,0.1008,0
compromised_bot,1855,321,5986,35.08,0.65,0.82,0.73,0.0024,1
lurker_human,366,56,264,0.06,0.42,0.03,0.17,0.0504,0
compromised_bot,2102,1288,5864,40.66,0.84,0.82,0.77,0.0077,1
active_human,819,248,217,0.82,0.87,0.22,0.27,0.0912,0
active_human,909,242,272,0.84,0.78,0.12,0.22,0.112,0
creator_human,1628,13914,333,3.29,1.0,0.15,0.2,0.108,0
compromised_bot,1028,1126,6937,29.06,0.78,0.69,0.69,0.0078,1
active_human,467,199,156,1.33,0.64,0.22,0.38,0.093,0
active_human,593,891,1226,2.3,0.62,0.28,0.21,0.0554,0
active_human,345,337,279,1.29,0.51,0.18,0.36,0.0687,0
follow_bot,14,158,6124,1.44,0.33,0.95,0.64,0.0014,1
follow_bot,31,150,8346,0.56,0.23,0.85,0.71,0.0003,1
active_human,548,168,156,1.31,0.77,0.2,0.26,0.1018,0
spambot,16,18,7160,61.27,0.25,0.86,0.85,0.001,1
lurker_human,1972,93,78,0.12,0.42,0.02,0.07,0.0382,0
lurker_human,1558,61,207,0.05,0.75,0.11,0.29,0.0114,0
active_human,237,1070,959,2.01,0.91,0.13,0.13,0.0251,0
active_human,802,459,528,1.57,0.49,0.23,0.23,0.0205,0
compromised_bot,814,644,6664,27.03,0.76,0.66,0.85,0.0074,1
spambot,38,51,1691,45.44,0.14,0.75,0.77,0.0,1
compromised_bot,1643,738,6661,26.68,0.78,0.69,0.65,0.0024,1
active_human,544,197,268,2.13,0.87,0.3,0.27,0.0215,0
active_human,260,157,170,0.9,0.71,0.06,0.31,0.0926,0
spambot,6,45,2340,47.38,0.44,0.76,0.82,0.0017,1
spambot,6,55,4734,27.05,0.41,0.77,0.9,0.0011,1
active_human,476,648,802,2.16,0.92,0.13,0.26,0.1141,0
follow_bot,45,117,5123,1.06,0.3,0.93,0.68,0.0015,1
active_human,580,358,244,2.49,0.77,0.05,0.18,0.077,0
active_human,1650,275,238,1.28,0.84,0.01,0.29,0.1011,0
active_human,678,304,329,2.04,0.86,0.07,0.19,0.1078,0
follow_bot,45,109,7096,1.45,0.45,0.93,0.7,0.0005,1
active_human,1131,134,134,1.85,0.74,0.12,0.16,0.0733,0
lurker_human,519,77,192,0.03,0.54,0.07,0.12,0.0188,0
active_human,474,82,133,0.81,0.81,0.12,0.21,0.0849,0
active_human,958,126,207,2.42,0.52,0.24,0.37,0.0546,0
active_human,864,191,265,0.69,0.69,0.09,0.4,0.1175,0
lurker_human,844,146,163,0.15,0.59,0.08,0.07,0.0406,0
spambot,9,20,5172,38.83,0.14,0.71,0.94,0.0016,1
active_human,583,264,316,1.47,0.77,0.11,0.29,0.0605,0
creator_human,1645,10050,1025,1.27,0.91,0.1,0.2,0.0605,0
active_human,428,35,48,2.15,0.89,0.11,0.34,0.0933,0
lurker_human,340,39,88,0.05,0.45,0.05,0.07,0.0257,0
creator_human,805,14903,451,3.81,0.92,0.14,0.25,0.0757,0
follow_bot,59,167,6787,0.4,0.36,0.86,0.74,0.0014,1
active_human,442,176,164,0.77,0.81,0.02,0.21,0.1096,0
active_human,272,748,917,0.84,0.92,0.04,0.25,0.1128,0
creator_human,2348,16977,827,4.48,0.94,0.23,0.27,0.0897,0
active_human,566,79,105,2.06,0.76,0.07,0.21,0.1133,0
lurker_human,1885,52,369,0.04,0.7,0.07,0.22,0.0503,0
spambot,30,23,3233,56.68,0.16,0.8,0.85,0.0009,1
active_human,1536,162,161,0.5,0.95,0.29,0.35,0.0805,0
spambot,30,44,1629,33.41,0.37,0.78,0.83,0.0011,1
follow_bot,43,136,4937,1.31,0.33,0.91,0.71,0.0004,1
spambot,9,72,5836,64.66,0.39,0.74,0.8,0.0012,1
spambot,11,68,1924,17.43,0.19,0.76,0.93,0.0014,1
active_human,605,84,92,1.03,0.87,0.32,0.34,0.0589,0
creator_human,1586,15807,884,3.04,0.95,0.05,0.17,0.0323,0
active_human,695,343,422,1.17,0.77,0.18,0.31,0.0355,0
lurker_human,465,96,361,0.03,0.7,0.08,0.21,0.0426,0
active_human,154,227,279,1.72,0.89,0.19,0.22,0.0825,0
lurker_human,618,134,92,0.07,0.44,0.11,0.22,0.0335,0
creator_human,1373,70428,627,3.44,0.89,0.08,0.33,0.1337,0
follow_bot,11,92,8775,1.19,0.42,0.97,0.74,0.0003,1
active_human,603,303,244,1.6,0.82,0.01,0.37,0.104,0
active_human,461,142,199,0.35,0.78,0.07,0.37,0.0427,0
spambot,2,77,3464,61.94,0.43,0.78,0.8,0.0004,1
lurker_human,239,61,168,0.05,0.72,0.06,0.07,0.0423,0
compromised_bot,1254,1318,6807,42.18,0.65,0.85,0.73,0.0077,1
lurker_human,528,60,90,0.03,0.64,0.09,0.11,0.0137,0
active_human,905,162,188,1.73,0.94,0.04,0.38,0.0798,0
active_human,526,154,168,1.53,0.6,0.16,0.39,0.045,0
lurker_human,980,126,381,0.03,0.5,0.09,0.29,0.0527,0
active_human,611,161,238,1.48,0.92,0.05,0.38,0.0319,0
spambot,12,58,2031,20.28,0.19,0.92,0.86,0.0014,1
lurker_human,1048,56,101,0.14,0.67,0.07,0.1,0.0329,0
creator_human,1085,9392,345,3.03,0.86,0.08,0.27,0.0669,0
active_human,530,526,564,1.75,0.78,0.09,0.37,0.09,0
follow_bot,56,189,4524,0.77,0.53,0.9,0.41,0.0007,1
spambot,2,28,5148,19.89,0.17,0.8,0.88,0.0015,1
follow_bot,5,118,3057,1.34,0.36,0.95,0.6,0.0016,1
active_human,387,195,233,1.43,0.75,0.07,0.11,0.1012,0
active_human,372,46,110,0.37,0.82,0.34,0.4,0.0312,0
compromised_bot,2241,359,4642,39.09,0.82,0.72,0.73,0.0044,1
active_human,480,166,265,0.64,0.86,0.03,0.2,0.0428,0
spambot,30,58,4816,36.01,0.3,0.87,0.9,0.0012,1
active_human,658,200,173,2.4,0.84,0.17,0.36,0.078,0
follow_bot,35,142,5310,0.54,0.25,0.89,0.67,0.0,1
active_human,613,259,209,2.24,0.87,0.1,0.2,0.0453,0
follow_bot,12,119,8340,0.16,0.27,0.98,0.45,0.0015,1
creator_human,2482,39850,811,3.29,0.98,0.08,0.16,0.1291,0
creator_human,1402,23034,982,1.74,0.94,0.14,0.32,0.0648,0
active_human,414,95,168,1.1,0.74,0.12,0.23,0.0937,0
spambot,20,8,6608,43.47,0.23,0.77,0.87,0.0006,1
active_human,481,442,374,0.72,0.71,0.02,0.13,0.1145,0
lurker_human,465,113,90,0.11,0.6,0.02,0.08,0.012,0
spambot,10,38,6495,54.91,0.26,0.79,0.8,0.0007,1
compromised_bot,1726,1053,6732,14.32,0.57,0.88,0.79,0.0056,1
compromised_bot,2389,358,4572,19.81,0.62,0.73,0.61,0.0028,1
follow_bot,30,123,5688,1.43,0.37,0.86,0.46,0.001,1
follow_bot,33,134,6659,0.44,0.54,0.87,0.77,0.0007,1
active_human,314,61,107,1.71,0.77,0.12,0.4,0.0501,0
lurker_human,327,116,360,0.11,0.7,0.01,0.19,0.0557,0
spambot,17,77,5578,45.7,0.25,0.93,0.86,0.0025,1
lurker_human,680,95,345,0.05,0.49,0.08,0.29,0.0323,0
follow_bot,19,151,6719,0.77,0.31,0.88,0.61,0.0006,1
active_human,818,972,1056,1.42,0.91,0.07,0.1,0.1193,0
active_human,716,64,80,0.94,0.77,0.15,0.39,0.1144,0
active_human,455,244,308,1.26,0.74,0.25,0.16,0.0827,0
lurker_human,648,129,97,0.08,0.58,0.07,0.2,0.0451,0
active_human,566,181,276,2.07,0.91,0.2,0.21,0.0672,0
active_human,818,225,273,1.32,0.97,0.07,0.11,0.0936,0
lurker_human,1077,78,384,0.1,0.58,0.03,0.2,0.0462,0
active_human,398,344,393,2.01,0.66,0.13,0.28,0.0925,0
creator_human,1332,43531,772,3.79,0.94,0.25,0.16,0.0535,0
follow_bot,19,25,5300,0.74,0.48,0.85,0.48,0.0007,1
lurker_human,613,67,204,0.14,0.66,0.11,0.24,0.0321,0
active_human,592,73,120,2.12,0.77,0.07,0.24,0.0434,0
active_human,297,363,341,0.45,0.91,0.18,0.19,0.1071,0
active_human,197,398,527,1.67,0.96,0.08,0.35,0.0911,0
lurker_human,670,109,319,0.02,0.4,0.06,0.26,0.0224,0
spambot,12,43,6211,59.94,0.33,0.97,0.83,0.0007,1
active_human,599,403,335,0.39,0.9,0.11,0.25,0.0246,0
active_human,589,601,577,1.06,0.69,0.09,0.16,0.0895,0
spambot,1,61,4262,54.29,0.37,0.76,0.93,0.0004,1
spambot,1,45,3516,56.37,0.34,0.73,0.95,0.0026,1
spambot,56,42,5358,56.72,0.25,0.92,0.84,0.0025,1
creator_human,3294,5739,960,2.4,0.93,0.2,0.31,0.147,0
active_human,818,194,244,1.2,0.71,0.05,0.11,0.0349,0
active_human,2252,118,159,2.44,0.89,0.02,0.15,0.1163,0
compromised_bot,2248,315,4640,26.68,0.68,0.8,0.61,0.0068,1
spambot,10,79,4102,21.91,0.45,0.74,0.76,0.0018,1
lurker_human,1511,81,182,0.06,0.58,0.06,0.2,0.0151,0
lurker_human,894,20,101,0.12,0.42,0.08,0.25,0.0147,0
follow_bot,19,125,6848,1.0,0.35,0.9,0.78,0.0005,1
follow_bot,29,181,7578,1.34,0.37,0.95,0.52,0.0005,1
active_human,584,467,618,0.85,0.7,0.13,0.19,0.0293,0
follow_bot,37,151,7522,1.45,0.55,0.88,0.5,0.0016,1
lurker_human,537,135,200,0.06,0.43,0.09,0.28,0.0182,0
compromised_bot,2400,280,7608,28.36,0.7,0.84,0.9,0.0014,1
active_human,521,368,478,0.61,0.55,0.18,0.23,0.0893,0
follow_bot,13,67,6008,0.79,0.21,0.95,0.63,0.0003,1
active_human,637,419,388,0.86,0.95,0.06,0.37,0.041,0
compromised_bot,1511,943,3798,22.92,0.57,0.75,0.81,0.0068,1
follow_bot,12,187,3267,0.7,0.27,0.86,0.69,0.0016,1
follow_bot,11,70,4504,0.94,0.59,0.96,0.53,0.0017,1
follow_bot,52,95,4803,0.9,0.39,0.96,0.52,0.0008,1
active_human,82,668,729,2.08,0.71,0.16,0.22,0.1135,0
spambot,24,22,7300,28.24,0.19,0.87,0.97,0.0006,1
creator_human,2273,38214,865,3.85,0.94,0.16,0.3,0.0348,0
compromised_bot,1958,625,5901,12.77,0.78,0.68,0.89,0.0067,1
spambot,12,13,6855,32.22,0.26,0.91,0.8,0.0014,1
follow_bot,59,156,8426,0.71,0.45,0.92,0.47,0.0009,1
compromised_bot,1235,965,4574,39.13,0.52,0.84,0.84,0.0073,1
lurker_human,609,102,360,0.15,0.61,0.1,0.19,0.0592,0
active_human,618,371,498,1.24,0.89,0.38,0.11,0.0973,0
active_human,526,838,950,1.0,0.93,0.07,0.22,0.0551,0
active_human,1181,139,181,1.3,0.88,0.08,0.27,0.096,0
active_human,686,266,385,2.49,0.84,0.07,0.26,0.049,0
active_human,1001,1312,1046,2.39,0.94,0.11,0.12,0.025,0
lurker_human,376,94,387,0.03,0.72,0.09,0.16,0.034,0
spambot,10,74,5933,34.52,0.39,0.74,0.91,0.0029,1
compromised_bot,1957,1450,5519,18.48,0.82,0.84,0.77,0.004,1
active_human,138,364,259,1.88,0.52,0.08,0.3,0.0536,0
active_human,407,282,383,2.46,0.89,0.08,0.17,0.0296,0
lurker_human,463,48,206,0.02,0.51,0.11,0.25,0.058,0
lurker_human,188,135,228,0.01,0.69,0.03,0.23,0.0108,0
active_human,349,239,314,2.37,0.91,0.24,0.39,0.0319,0
follow_bot,47,139,7805,1.15,0.43,0.92,0.68,0.0011,1
spambot,30,30,1788,36.32,0.14,0.73,0.87,0.001,1
active_human,368,270,191,1.89,0.7,0.09,0.2,0.069,0
follow_bot,20,159,3551,0.2,0.28,0.96,0.67,0.0015,1
active_human,528,152,209,1.89,0.89,0.05,0.22,0.0835,0
active_human,317,145,107,2.48,0.85,0.02,0.33,0.0277,0
spambot,2,49,5987,36.7,0.34,0.77,0.79,0.0014,1
spambot,14,39,3552,30.21,0.35,0.85,0.78,0.0004,1
active_human,864,174,158,2.39,0.89,0.03,0.28,0.074,0
follow_bot,11,116,7409,1.01,0.49,0.86,0.42,0.0016,1
lurker_human,645,115,310,0.11,0.69,0.07,0.22,0.0357,0
lurker_human,531,56,247,0.06,0.49,0.05,0.25,0.0502,0
active_human,2311,151,202,1.77,0.78,0.06,0.23,0.0814,0
spambot,5,60,6120,58.88,0.15,0.88,0.97,0.0003,1
active_human,362,101,96,2.16,0.79,0.16,0.32,0.1111,0
creator_human,1033,10710,986,4.14,0.93,0.24,0.19,0.1047,0
follow_bot,36,85,6909,0.66,0.6,0.86,0.62,0.0016,1
spambot,11,63,2414,35.27,0.22,0.87,0.93,0.0008,1
compromised_bot,2106,364,5810,24.39,0.54,0.68,0.84,0.0037,1
active_human,577,297,237,2.41,0.83,0.01,0.32,0.0401,0
active_human,369,216,298,0.26,0.87,0.1,0.33,0.096,0
active_human,433,62,102,0.61,0.95,0.38,0.27,0.0789,0
spambot,8,65,3804,51.15,0.16,0.93,0.9,0.0014,1
active_human,288,69,119,0.64,0.88,0.15,0.16,0.0825,0
compromised_bot,1956,1184,7699,36.47,0.79,0.79,0.77,0.0073,1
spambot,3,74,6813,28.19,0.26,0.71,0.92,0.0028,1
active_human,1501,128,121,0.36,0.73,0.03,0.24,0.0543,0
creator_human,896,16692,871,2.12,0.92,0.11,0.22,0.1228,0
lurker_human,479,49,89,0.13,0.6,0.04,0.19,0.0122,0
follow_bot,6,39,7214,0.32,0.4,0.91,0.73,0.0019,1
compromised_bot,1710,1409,7747,29.98,0.63,0.95,0.74,0.0057,1
lurker_human,604,82,203,0.12,0.68,0.05,0.07,0.0579,0
lurker_human,442,142,239,0.11,0.61,0.07,0.15,0.0575,0
follow_bot,33,23,4882,0.57,0.55,0.91,0.6,0.0012,1
active_human,442,552,525,0.45,0.74,0.07,0.23,0.1169,0
active_human,410,111,160,0.91,0.76,0.0,0.28,0.0793,0
active_human,263,170,181,0.84,0.7,0.16,0.38,0.0787,0
spambot,9,19,1603,62.5,0.32,0.87,0.91,0.0014,1
active_human,150,432,387,2.5,0.82,0.15,0.39,0.0468,0
lurker_human,861,67,371,0.01,0.68,0.05,0.11,0.0353,0
active_human,429,402,478,2.5,0.71,0.03,0.26,0.0755,0
spambot,1,7,6312,64.53,0.13,0.8,0.89,0.0011,1
lurker_human,980,94,279,0.09,0.74,0.08,0.07,0.0259,0
lurker_human,293,51,95,0.07,0.63,0.07,0.09,0.0288,0
follow_bot,38,151,7544,0.21,0.54,0.98,0.52,0.0007,1
active_human,657,155,240,2.08,0.62,0.13,0.36,0.0366,0
active_human,314,271,277,0.44,0.84,0.06,0.14,0.0289,0
spambot,4,8,2819,20.92,0.25,0.91,0.85,0.0015,1
compromised_bot,1108,345,6354,13.95,0.55,0.65,0.67,0.0056,1
spambot,9,67,5933,50.82,0.16,0.91,0.94,0.0013,1
active_human,521,264,279,0.28,0.98,0.05,0.18,0.0267,0
active_human,403,227,186,1.1,0.66,0.07,0.12,0.0267,0
follow_bot,38,175,4175,1.43,0.47,0.95,0.74,0.0014,1
creator_human,1190,26656,693,2.47,0.95,0.14,0.16,0.1063,0
spambot,3,71,1669,24.08,0.25,0.85,0.83,0.0015,1
spambot,19,9,7264,58.1,0.44,0.87,0.85,0.0007,1
active_human,366,491,431,0.51,0.85,0.01,0.38,0.0853,0
spambot,7,44,3658,47.89,0.42,0.97,0.86,0.0016,1
active_human,727,254,281,1.4,0.78,0.03,0.2,0.0328,0
lurker_human,386,104,273,0.11,0.7,0.05,0.08,0.0141,0
creator_human,1740,13297,592,4.22,1.0,0.09,0.26,0.0944,0
follow_bot,45,36,4048,1.05,0.36,0.99,0.42,0.0001,1
lurker_human,570,38,391,0.04,0.56,0.1,0.21,0.018,0
lurker_human,258,108,271,0.06,0.67,0.03,0.16,0.0169,0
active_human,619,57,78,0.46,0.72,0.06,0.13,0.0541,0
compromised_bot,945,929,5494,26.21,0.6,0.66,0.73,0.0051,1
active_human,369,76,114,1.46,0.79,0.17,0.33,0.0897,0
lurker_human,757,142,80,0.03,0.53,0.09,0.27,0.0261,0
creator_human,1733,3074,1198,4.38,0.9,0.2,0.3,0.0951,0
follow_bot,18,100,7092,0.82,0.24,0.86,0.42,0.0008,1
follow_bot,5,35,6459,0.51,0.23,0.97,0.46,0.0004,1
spambot,13,48,3206,62.72,0.21,0.79,0.8,0.0016,1
active_human,279,148,197,1.22,0.96,0.04,0.28,0.0284,0
spambot,3,19,3963,35.08,0.18,0.89,0.88,0.0005,1
follow_bot,32,44,8258,1.46,0.59,0.9,0.67,0.0003,1
follow_bot,26,50,6361,1.47,0.23,0.93,0.51,0.0009,1
active_human,764,87,135,1.01,0.88,0.1,0.17,0.0888,0
active_human,731,182,253,1.85,0.93,0.13,0.29,0.0938,0
compromised_bot,1086,332,4620,23.54,0.53,0.89,0.62,0.0034,1
active_human,292,295,384,1.9,0.61,0.09,0.35,0.0655,0
compromised_bot,882,1136,7841,14.38,0.8,0.82,0.65,0.002,1
lurker_human,320,137,178,0.13,0.43,0.1,0.22,0.0258,0
follow_bot,54,32,4472,0.28,0.56,0.91,0.63,0.0004,1
active_human,456,333,307,1.4,0.93,0.11,0.16,0.1034,0
active_human,178,420,463,2.22,0.75,0.06,0.35,0.0921,0
active_human,328,94,131,0.44,0.77,0.12,0.29,0.0772,0
